id,카드사,카드이름,혜택요약
1,국민은행,KB국민 청춘대로 톡톡카드,"스벅 최대60%, 교통·통신10%할인20년도 KB국민카드 온라인발급 1위"
2,국민은행,KB국민 Liiv M Ⅱ카드,리브M 통신비 월 최대 1만7천원할인연 최대 20만 4천원 할인
3,국민은행,THE CJ KB국민카드,CJ푸드빌 이용 시 최대 20% 할인올리브영 10% 할인에 1% 적립까지
4,국민은행,KB국민 탄탄대로 Miz&Mr카드,백화점·대형마트·교통 10%할인!미용·화장품·SPA패션 20%할인!
5,국민은행,T-Premium KB국민카드,SKT 통신요금 최대 2만1천원 할인연간 최대 25만2천원 할인혜택!
6,국민은행,KB국민 에버랜드 판다카드,"에버랜드 50%, 캐리비안베이 30%연간회원권 10%, 빕스 20% 할인"
7,국민은행,요기패스 신용카드,요기패스 멤버십 구독료 무료커피·편의점 등 생활업종 5%할인
8,국민은행,KB국민 Easy all 티타늄카드,많이 쓴 영역 알아서 자동 캐시백!또는 20개 영역 중 맞춤 DIY할인
9,국민은행,KB국민 톡톡Pay카드,삼성·카카오페이등 간편결제 최대40%대중교통·편의점 10% 할인까지!
10,국민은행,코웨이 KB국민카드,"코웨이 렌탈비 최대 2만원 할인통신요금 3천원, 뷰티업종 5% 할인"
11,국민은행,KB국민 와이즈홈카드,"통신요금10%, 대중교통 5%청구할인대형마트·학원업종 5% 청구 할인"
12,국민은행,KB국민 탄탄대로 오토카드,주유소 최대15%+자동차보험 2만원정비·주차·세차·통신·편의점 10%
13,국민은행,KB국민 KB Pay 챌린지카드,KB Pay이용시 월 최대5만포인트리매주 포인트리 1천점 적립
14,국민은행,KB국민 탄탄대로 온리유 티타늄카드,주유소 리터당 최대 200점 적립인천공항라운지·발레파킹 무료서비스
15,국민은행,KB국민 아시아나 올림카드,"국내이용 1,500원당 2마일 적립해외이용 1,500원당 3마일 적립"
